year,market_Cap_Filter,sector_Filter,industry_Filter,company_Size_Filter,symbol
1986,Billion_Dollar_Company,Industrials,Airlines,"10 Thousand +",SKYW
1986,Billion_Dollar_Company,Industrials,Trucking,"5 Thousand +",HTLD
1986,Billion_Dollar_Company,Healthcare,Biotechnology,"Hundred +",CLDX
1986,Billion_Dollar_Company,Industrials,Trucking,"Thousand +",MRTN
1986,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",WSFS
1986,Billion_Dollar_Company,Technology,"Electronic Components","10 Thousand +",PLXS
1986,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",INDB
1986,Billion_Dollar_Company,"Consumer Defensive","Packaged Foods","5 Thousand +",JJSF
1986,Billion_Dollar_Company,Industrials,Trucking,"10 Thousand +",WERN
1986,Billion_Dollar_Company,"Basic Materials","Specialty Chemicals","Thousand +",BCPC
1986,Billion_Dollar_Company,Healthcare,"Medical Instruments & Supplies","Thousand +",RGEN
1986,10_Billion_Dollar_Company,"Financial Services",Banks—Regional,"10 Thousand +",FCNCA
1986,10_Billion_Dollar_Company,"Financial Services","Asset Management","5 Thousand +",TROW
1986,10_Billion_Dollar_Company,"Consumer Defensive",Beverages—Non-Alcoholic,"10 Thousand +",CCEP
1986,10_Billion_Dollar_Company,Technology,"Information Technology Services","10 Thousand +",FISV
1986,100_Billion_Dollar_Company,Technology,Software—Infrastructure,"10 Thousand +",ADBE
1986,100_Billion_Dollar_Company,"Consumer Defensive","Discount Stores","Lakh +",COST
1986,Trillion_Dollar_Company,Technology,Software—Infrastructure,"Lakh +",MSFT
1987,Million_Dollar_Company,Healthcare,"Medical Devices","Less Than Hundred",THMO
1987,Million_Dollar_Company,"Financial Services","Insurance—Property & Casualty","Less Than Hundred",UNAM
1987,10_Million_Dollar_Company,Healthcare,"Diagnostics & Research","Hundred +",PMD
1987,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",ICCC
1987,10_Million_Dollar_Company,Industrials,"Aerospace & Defense","Hundred +",TATT
1987,100_Million_Dollar_Company,"Financial Services","Mortgage Finance","Thousand +",SNFCA
1987,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",NBN
1987,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",FLIC
1987,100_Million_Dollar_Company,"Consumer Cyclical","Apparel Retail","Thousand +",DXLG
1987,100_Million_Dollar_Company,Healthcare,Biotechnology,"Hundred +",HRTX
1987,100_Million_Dollar_Company,Technology,"Communication Equipment","Hundred +",AVNW
1987,100_Million_Dollar_Company,"Consumer Cyclical","Auto & Truck Dealerships","Thousand +",CRMT
1987,100_Million_Dollar_Company,Technology,Software—Application,"10 Thousand +",EBIX
1987,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",WASH
1987,100_Million_Dollar_Company,"Consumer Cyclical",Leisure,"Thousand +",JOUT
1987,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",CTBI
1987,100_Million_Dollar_Company,Technology,"Semiconductor Equipment & Materials","Thousand +",PLAB
1987,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",FBNC
1987,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",CHCO
1987,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",WSBC
1987,Billion_Dollar_Company,"Consumer Defensive","Grocery Stores","10 Thousand +",IMKTA
1987,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",UBSI
1987,Billion_Dollar_Company,"Consumer Defensive","Packaged Foods","50 Thousand +",PPC
1987,Billion_Dollar_Company,Industrials,"Specialty Industrial Machinery","10 Thousand +",MIDD
1987,Billion_Dollar_Company,Healthcare,"Medical Instruments & Supplies","10 Thousand +",XRAY
1987,10_Billion_Dollar_Company,Energy,"Oil & Gas Refining & Marketing","10 Thousand +",IEP
1987,10_Billion_Dollar_Company,Energy,"Oil & Gas Equipment & Services","50 Thousand +",BKR
1987,10_Billion_Dollar_Company,Industrials,"Industrial Distribution","10 Thousand +",FAST
1987,10_Billion_Dollar_Company,Technology,Software—Application,"10 Thousand +",CDNS
1988,10_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",FRBK
1988,10_Million_Dollar_Company,"Consumer Defensive","Packaged Foods","Hundred +",LWAY
1988,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Less Than Hundred",HIFS
1988,100_Million_Dollar_Company,"Basic Materials","Paper & Paper Products","Thousand +",MERC
1988,100_Million_Dollar_Company,"Communication Services",Broadcasting,"5 Thousand +",SSP
1988,Billion_Dollar_Company,"Consumer Cyclical","Specialty Retail","10 Thousand +",ODP
1988,Billion_Dollar_Company,"Consumer Defensive","Beverages—Wineries & Distilleries","Hundred +",MGPI
1988,Billion_Dollar_Company,"Consumer Defensive","Household & Personal Products","Hundred +",IPAR
1988,10_Billion_Dollar_Company,"Communication Services","Telecom Services","Lakh +",VOD
1989,10_Million_Dollar_Company,"Financial Services","Insurance—Property & Casualty","Hundred +",HALL
1989,10_Million_Dollar_Company,Technology,"Scientific & Technical Instruments","Hundred +",BNSO
1989,10_Million_Dollar_Company,Technology,"Communication Equipment","Less Than Hundred",CLRO
1989,10_Million_Dollar_Company,Technology,"Electronic Components","Less Than Hundred",DAIO
1989,10_Million_Dollar_Company,Industrials,"Building Products & Equipment","Hundred +",PPIH
1989,100_Million_Dollar_Company,Technology,"Electronic Components","Less Than Hundred",NEON
1989,100_Million_Dollar_Company,Utilities,"Utilities—Regulated Water","Less Than Hundred",CDZI
1989,100_Million_Dollar_Company,Technology,Software—Application,"Hundred +",MITK
1989,100_Million_Dollar_Company,Energy,"Oil & Gas Equipment & Services","Thousand +",BOOM
1989,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",GSBC
1989,100_Million_Dollar_Company,"Consumer Cyclical","Apparel Manufacturing","Thousand +",GIII
1989,100_Million_Dollar_Company,Healthcare,"Medical Instruments & Supplies","Hundred +",BLFS
1989,100_Million_Dollar_Company,Healthcare,Biotechnology,"Hundred +",IMGN
1989,Billion_Dollar_Company,Technology,"Communication Equipment","Hundred +",DGII
1989,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",FRME
1989,Billion_Dollar_Company,Healthcare,"Diagnostics & Research","Thousand +",NEOG
1989,Billion_Dollar_Company,Technology,Semiconductors,"Thousand +",CRUS
1989,Billion_Dollar_Company,Technology,"Scientific & Technical Instruments","Thousand +",CGNX
1989,10_Billion_Dollar_Company,Technology,Software—Infrastructure,"Thousand +",GEN
1989,10_Billion_Dollar_Company,Technology,Semiconductors,"Hundred +",LSCC
1989,10_Billion_Dollar_Company,Healthcare,Biotechnology,"Thousand +",TECH
1989,10_Billion_Dollar_Company,Technology,Software—Application,"5 Thousand +",PTC
